No;DATA;HORA;INCIDENTE;SEXO;IDADE;MUNICÍPIO
43287320;28/09/2020;16:39;HOMICÍDIO DOLOSO;M;29;VITORIA
43287320;28/09/2020;16:39;HOMICÍDIO DOLOSO;M;23;VITORIA
43288928;28/09/2020;20:26;HOMICÍDIO DOLOSO;M;19;JAGUARE
43283027;28/09/2020;07:58;HOMICÍDIO DOLOSO;M;60;BREJETUBA
43290245;29/09/2020;01:09;HOMICÍDIO DOLOSO;M;17;VITORIA
43002782;29/09/2020;15:24;HOMICÍDIO DOLOSO;M;39;NOVA VENECIA
43289814;29/09/2020;22:55;LATROCÍNIO;M;34;CARIACICA
43312075;01/10/2020;18:15;HOMICÍDIO DOLOSO;M;null;BAIXO GUANDU
43312571;01/10/2020;18:40;HOMICÍDIO DOLOSO;M;44;ECOPORANGA
43310684;01/10/2020;18:53;HOMICÍDIO DOLOSO;M;23;ATILIO VIVACQUA
43313797;02/10/2020;09:32;HOMICÍDIO DOLOSO;M;50;SERRA
43316651;02/10/2020;15:31;HOMICÍDIO DOLOSO;M;37;CARIACICA
43317328;02/10/2020;16:53;HOMICÍDIO DOLOSO;M;22;CACHOEIRO DE ITAPE
43319682;02/10/2020;22:11;HOMICÍDIO DOLOSO;M;16;VILA VELHA
43296192;02/10/2020;19:57;HOMICÍDIO DOLOSO;M;18;ARACRUZ
43319682;03/10/2020;22:11;HOMICÍDIO DOLOSO;M;16;VILA VELHA
43321184;03/10/2020;03:41;HOMICÍDIO DOLOSO;M;20;VITORIA
43321362;03/10/2020;05:08;HOMICÍDIO DOLOSO;M;28;SERRA
43328617;04/10/2020;00:54;HOMICÍDIO DOLOSO;M;26;PIUMA
43328765;04/10/2020;01:26;HOMICÍDIO DOLOSO;M;29;ALEGRE
43331041;04/10/2020;12:40;HOMICÍDIO DOLOSO;M;17;CARIACICA
43332040;04/10/2020;15:56;HOMICÍDIO DOLOSO;M;35;GUARAPARI
43332341;04/10/2020;16:43;HOMICÍDIO DOLOSO;M;39;VITORIA
43332341;04/10/2020;16:43;HOMICÍDIO DOLOSO;M;23;VITORIA
43332421;04/10/2020;16:54;HOMICÍDIO DOLOSO;M;21;SERRA
43336821;05/10/2020;09:45;HOMICÍDIO DOLOSO;M;34;JAGUARE
43336049;05/10/2020;07:47;HOMICÍDIO DOLOSO;M;37;MARILANDIA
43340293;05/10/2020;15:30;HOMICÍDIO DOLOSO;F;36;ALTO RIO NOVO
43349043;06/10/2020;20:58;HOMICÍDIO DOLOSO;M;27;VILA VELHA
43356640;07/10/2020;00:00;HOMICÍDIO DOLOSO;M;64;LINHARES
43350503;07/10/2020;05:48;HOMICÍDIO DOLOSO;M;34;CARIACICA
43359890;08/10/2020;12:41;HOMICÍDIO DOLOSO;M;22;CARIACICA
43360704;08/10/2020;14:26;HOMICÍDIO DOLOSO;F;26;LINHARES
43363292;08/10/2020;20:27;HOMICÍDIO DOLOSO;M;19;LINHARES
43364293;08/10/2020;23:57;HOMICÍDIO DOLOSO;M;56;VILA VELHA
43369855;09/10/2020;18:03;HOMICÍDIO DOLOSO;M;32;CARIACICA
43372263;10/10/2020;00:08;HOMICÍDIO DOLOSO;M;24;SOORETAMA
43372952;10/10/2020;03:37;HOMICÍDIO DOLOSO;M;44;PEDRO CANARIO
43375560;10/10/2020;14:01;HOMICÍDIO DOLOSO;F;50;JAGUARE
43375885;10/10/2020;15:01;HOMICÍDIO DOLOSO;M;30;SERRA
43376382;10/10/2020;16:16;HOMICÍDIO DOLOSO;M;54;GUARAPARI
43381854;11/10/2020;10:37;HOMICÍDIO DOLOSO;M;27;CARIACICA
43382139;11/10/2020;11:00;HOMICÍDIO DOLOSO;M;26;SAO ROQUE DO CANA
43384336;11/10/2020;18:08;HOMICÍDIO DOLOSO;M;37;VITORIA
43385332;11/10/2020;20:42;HOMICÍDIO DOLOSO;M;51;JAGUARE
43387068;12/10/2020;03:03;HOMICÍDIO DOLOSO;M;;SAO MATEUS
43388582;12/10/2020;11:40;HOMICÍDIO DOLOSO;M;31;CACHOEIRO DE ITAPE
43391048;12/10/2020;18:54;HOMICÍDIO DOLOSO;M;58;BREJETUBA
43391130;12/10/2020;19:06;LESÃO CORPORAL SEGUI;MA DE;ORTE;VITORIA
43395350;13/10/2020;13:04;HOMICÍDIO DOLOSO;M;31;VILA VELHA
43396928;13/10/2020;16:08;HOMICÍDIO DOLOSO;F;35;LINHARES
43397376;13/10/2020;17:07;HOMICÍDIO DOLOSO;M;17;CARIACICA
43406127;14/10/2020;20:19;HOMICÍDIO DOLOSO;M;23;CARIACICA
43406587;14/10/2020;21:39;HOMICÍDIO DOLOSO;M;16;SERRA
43407037;14/10/2020;22:57;HOMICÍDIO DOLOSO;M;83;JAGUARE
43407341;15/10/2020;00:10;HOMICÍDIO DOLOSO;M;;VILA VELHA
43407700;15/10/2020;02:55;HOMICÍDIO DOLOSO;M;36;CACHOEIRO DE ITAPE
43407786;15/10/2020;04:00;HOMICÍDIO DOLOSO;M;21;LINHARES
43411635;15/10/2020;16:01;HOMICÍDIO DOLOSO;M;42;CONCEICAO DA BARR
43413671;15/10/2020;21:09;HOMICÍDIO DOLOSO;M;21;VILA VELHA
43418995;16/10/2020;15:40;HOMICÍDIO DOLOSO;M;57;VILA VALERIO
43420708;16/10/2020;21:14;HOMICÍDIO DOLOSO;M;21;SERRA
43420708;16/10/2020;21:14;HOMICÍDIO DOLOSO;M;21;SERRA
43420829;16/10/2020;21:40;HOMICÍDIO DOLOSO;M;26;ICONHA
43433058;17/10/2020;17:12;HOMICÍDIO DOLOSO;M;15;PEDRO CANARIO
43433058;17/10/2020;17:12;HOMICÍDIO DOLOSO;M;13;PEDRO CANARIO
43433058;17/10/2020;17:12;HOMICÍDIO DOLOSO;M;15;PEDRO CANARIO
43433569;17/10/2020;18:49;HOMICÍDIO DOLOSO;M;26;SERRA
43364571;17/10/2020;22:35;HOMICÍDIO DOLOSO;F;44;VILA VALERIO
43423611;17/10/2020;10:51;HOMICÍDIO DOLOSO;M;26;PEDRO CANARIO
43426847;17/10/2020;19:58;HOMICÍDIO DOLOSO;M;41;SAO MATEUS
43438315;19/10/2020;06:50;HOMICÍDIO DOLOSO;M;24;ECOPORANGA
43440806;19/10/2020;18:13;HOMICÍDIO DOLOSO;F;null;SERRA
43442871;20/10/2020;01:01;HOMICÍDIO DOLOSO;M;26;VILA VELHA
43449048;20/10/2020;21:16;HOMICÍDIO DOLOSO;M;32;SERRA
43443782;20/10/2020;09:11;LATROCÍNIO;M;47;SERRA
43450342;21/10/2020;07:10;HOMICÍDIO DOLOSO;M;45;CARIACICA
43455824;21/10/2020;20:18;HOMICÍDIO DOLOSO;M;20;CARIACICA
43456888;21/10/2020;23:49;HOMICÍDIO DOLOSO;F;24;VILA VELHA
43458866;22/10/2020;10:37;HOMICÍDIO DOLOSO;M;53;SERRA
43459740;22/10/2020;12:43;HOMICÍDIO DOLOSO;M;28;CARIACICA
43373094;22/10/2020;03:00;HOMICÍDIO DOLOSO;M;22;SAO GABRIEL DA PALH
43437739;22/10/2020;11:39;HOMICÍDIO DOLOSO;M;21;LINHARES
43472670;22/10/2020;06:01;LESÃO CORPORAL SEGUI;MA DE;nOuRllTE;RIO BANANAL
43472390;24/10/2020;03:21;HOMICÍDIO DOLOSO;M;26;IBIRACU
43472927;24/10/2020;08:07;HOMICÍDIO DOLOSO;M;;LINHARES
43470852;24/10/2020;21:26;LATROCÍNIO;M;53;SERRA
43479664;25/10/2020;08:20;HOMICÍDIO DOLOSO;F;25;CARIACICA
43479664;25/10/2020;08:20;HOMICÍDIO DOLOSO;M;22;CARIACICA
43481249;25/10/2020;14:02;HOMICÍDIO DOLOSO;M;15;CARIACICA
43485477;26/10/2020;06:28;HOMICÍDIO DOLOSO;M;39;RIO NOVO DO SUL
43506600;28/10/2020;20:15;HOMICÍDIO DOLOSO;M;38;COLATINA
43505775;28/10/2020;21:56;HOMICÍDIO DOLOSO;M;8;SAO MATEUS
43509706;29/10/2020;13:10;HOMICÍDIO DOLOSO;M;30;VILA VELHA
43509706;29/10/2020;13:10;HOMICÍDIO DOLOSO;M;59;VILA VELHA
43514616;30/10/2020;02:26;HOMICÍDIO DOLOSO;M;17;AFONSO CLAUDIO
43515396;30/10/2020;08:42;HOMICÍDIO DOLOSO;M;24;GUARAPARI
43516199;30/10/2020;10:38;HOMICÍDIO DOLOSO;M;26;SERRA
43520528;30/10/2020;20:06;HOMICÍDIO DOLOSO;M;26;CARIACICA
43522828;31/10/2020;05:06;HOMICÍDIO DOLOSO;F;20;VITORIA
43532684;01/11/2020;14:50;HOMICÍDIO DOLOSO;M;28;ARACRUZ
43534167;01/11/2020;18:00;HOMICÍDIO DOLOSO;M;39;SANTA MARIA DE JETIB
43534801;01/11/2020;19:54;HOMICÍDIO DOLOSO;M;25;CONCEICAO DA BARR
43536046;02/11/2020;00:09;HOMICÍDIO DOLOSO;M;18;GUARAPARI
43536866;02/11/2020;00:30;HOMICÍDIO DOLOSO;M;25;SAO GABRIEL DA PALH
43537106;02/11/2020;04:51;HOMICÍDIO DOLOSO;M;18;VITORIA
43540187;02/11/2020;12:50;HOMICÍDIO DOLOSO;M;15;PINHEIROS
43542054;02/11/2020;21:07;HOMICÍDIO DOLOSO;M;31;CARIACICA
43535102;02/11/2020;21:04;HOMICÍDIO DOLOSO;M;42;CACHOEIRO DE ITAPE
43540185;02/11/2020;16:14;HOMICÍDIO DOLOSO;M;20;SERRA
43542989;03/11/2020;00:25;HOMICÍDIO DOLOSO;M;17;VITORIA
43543823;03/11/2020;07:37;HOMICÍDIO DOLOSO;M;56;SERRA
43547402;03/11/2020;15:43;HOMICÍDIO DOLOSO;M;55;CARIACICA
43549261;03/11/2020;19:57;HOMICÍDIO DOLOSO;M;21;SERRA
43549724;03/11/2020;21:19;HOMICÍDIO DOLOSO;M;21;IBATIBA
43542989;03/11/2020;00:25;HOMICÍDIO DOLOSO;M;22;VITORIA
43543023;03/11/2020;00:35;LATROCÍNIO;M;38;PINHEIROS
43545765;03/11/2020;12:07;LATROCÍNIO;M;22;VILA VELHA
43551037;04/11/2020;07:14;HOMICÍDIO DOLOSO;M;30;MIMOSO DO SUL
43557559;05/11/2020;00:30;HOMICÍDIO DOLOSO;M;29;CARIACICA
43571313;06/11/2020;20:01;HOMICÍDIO DOLOSO;M;34;SERRA
43572628;07/11/2020;23:55;HOMICÍDIO DOLOSO;M;21;JAGUARE
43572707;07/11/2020;00:15;HOMICÍDIO DOLOSO;M;35;GUARAPARI
43572827;07/11/2020;00:41;HOMICÍDIO DOLOSO;M;22;SOORETAMA
43573597;07/11/2020;04:54;HOMICÍDIO DOLOSO;M;33;GUARAPARI
43575341;07/11/2020;12:07;HOMICÍDIO DOLOSO;M;20;CARIACICA
43577772;07/11/2020;18:42;HOMICÍDIO DOLOSO;M;37;SAO MATEUS
43578418;07/11/2020;17:00;HOMICÍDIO DOLOSO;M;13;SAO DOMINGOS DO N
43581811;08/11/2020;09:23;HOMICÍDIO DOLOSO;M;25;LINHARES
43586222;08/11/2020;21:13;HOMICÍDIO DOLOSO;M;22;SAO MATEUS
43595650;10/11/2020;05:22;HOMICÍDIO DOLOSO;M;21;CARIACICA
43600474;10/11/2020;18:10;HOMICÍDIO DOLOSO;M;27;SERRA
43601094;10/11/2020;18:43;HOMICÍDIO DOLOSO;M;31;PEDRO CANARIO
43602657;10/11/2020;22:50;HOMICÍDIO DOLOSO;M;16;VILA VELHA
43603832;11/11/2020;08:28;HOMICÍDIO DOLOSO;M;32;CACHOEIRO DE ITAPE
43610007;11/11/2020;23:06;HOMICÍDIO DOLOSO;M;19;LINHARES
43610007;11/11/2020;23:06;HOMICÍDIO DOLOSO;M;16;LINHARES
43610666;12/11/2020;02:33;HOMICÍDIO DOLOSO;M;41;BAIXO GUANDU
43613194;12/11/2020;06:30;HOMICÍDIO DOLOSO;M;null;COLATINA
43612541;12/11/2020;11:18;HOMICÍDIO DOLOSO;M;17;VILA VELHA
43613399;12/11/2020;13:16;HOMICÍDIO DOLOSO;F;49;VITORIA
43617218;12/11/2020;21:48;HOMICÍDIO DOLOSO;M;36;ITAGUACU
43625414;13/11/2020;23:22;HOMICÍDIO DOLOSO;M;52;PIUMA
43627060;14/11/2020;07:56;HOMICÍDIO DOLOSO;M;24;GUARAPARI
43627662;14/11/2020;09:59;HOMICÍDIO DOLOSO;M;23;IUNA
43629697;14/11/2020;14:59;HOMICÍDIO DOLOSO;M;41;CARIACICA
43630736;14/11/2020;17:26;HOMICÍDIO DOLOSO;M;21;SAO MATEUS
43632420;14/11/2020;21:20;HOMICÍDIO DOLOSO;M;21;ARACRUZ
43633837;15/11/2020;00:00;HOMICÍDIO DOLOSO;M;31;COLATINA
43633718;15/11/2020;01:36;HOMICÍDIO DOLOSO;M;44;SAO MATEUS
43633866;15/11/2020;02:12;HOMICÍDIO DOLOSO;M;31;SANTA TERESA
43633866;15/11/2020;02:12;HOMICÍDIO DOLOSO;F;46;SANTA TERESA
43639002;15/11/2020;18:11;HOMICÍDIO DOLOSO;M;34;ITAPEMIRIM
43635621;15/11/2020;09:57;HOMICÍDIO DOLOSO;M;18;VILA VELHA
43642191;16/11/2020;04:20;HOMICÍDIO DOLOSO;M;null;PINHEIROS
43643448;16/11/2020;10:53;HOMICÍDIO DOLOSO;F;27;SERRA
43643547;16/11/2020;11:05;HOMICÍDIO DOLOSO;M;;SAO MATEUS
43646756;16/11/2020;18:02;HOMICÍDIO DOLOSO;M;45;SERRA
43646155;16/11/2020;16:40;LATROCÍNIO;M;32;SERRA
43656812;18/11/2020;03:49;HOMICÍDIO DOLOSO;F;;CONCEICAO DA BARR
43657104;18/11/2020;07:05;HOMICÍDIO DOLOSO;M;31;BARRA DE SAO FRANCI
43661169;18/11/2020;16:11;HOMICÍDIO DOLOSO;M;42;CARIACICA
43662813;18/11/2020;20:07;HOMICÍDIO DOLOSO;M;18;SERRA
43660650;18/11/2020;15:12;HOMICÍDIO DOLOSO;M;;ITAGUACU
43599537;18/11/2020;15:38;HOMICÍDIO DOLOSO;M;18;VILA VELHA
43664202;19/11/2020;00:57;HOMICÍDIO DOLOSO;M;25;GUARAPARI
43664514;19/11/2020;05:10;HOMICÍDIO DOLOSO;M;19;PINHEIROS
43667426;19/11/2020;14:33;HOMICÍDIO DOLOSO;F;;IBATIBA
43671120;19/11/2020;22:10;HOMICÍDIO DOLOSO;M;21;BOA ESPERANCA
43671573;20/11/2020;00:32;HOMICÍDIO DOLOSO;M;27;VIANA
43671881;20/11/2020;03:16;HOMICÍDIO DOLOSO;F;17;SAO MATEUS
43671881;20/11/2020;03:16;HOMICÍDIO DOLOSO;M;25;SAO MATEUS
43672154;20/11/2020;06:09;HOMICÍDIO DOLOSO;M;35;SERRA
43679693;21/11/2020;02:43;HOMICÍDIO DOLOSO;F;22;LINHARES
43679844;21/11/2020;03:56;HOMICÍDIO DOLOSO;M;64;SERRA
43680092;21/11/2020;06:20;HOMICÍDIO DOLOSO;M;63;CACHOEIRO DE ITAPE
43678702;21/11/2020;21:50;HOMICÍDIO DOLOSO;M;33;SAO GABRIEL DA PALH
43582914;21/11/2020;13:17;HOMICÍDIO DOLOSO;M;25;CARIACICA
43686344;22/11/2020;00:49;HOMICÍDIO DOLOSO;M;67;GOVERNADOR LINDEN
43688093;22/11/2020;09:37;HOMICÍDIO DOLOSO;M;44;CARIACICA
43688267;22/11/2020;10:12;LATROCÍNIO;M;49;CONCEICAO DA BARR
43693250;23/11/2020;03:08;HOMICÍDIO DOLOSO;M;40;GUACUI
43697909;23/11/2020;16:44;HOMICÍDIO DOLOSO;M;26;CARIACICA
43698976;23/11/2020;19:09;HOMICÍDIO DOLOSO;M;23;VILA VELHA
43712712;25/11/2020;18:50;HOMICÍDIO DOLOSO;F;47;CARIACICA
43718144;26/11/2020;13:50;HOMICÍDIO DOLOSO;M;27;VILA VELHA
43718671;26/11/2020;14:55;HOMICÍDIO DOLOSO;M;;NOVA VENECIA
43718949;26/11/2020;15:23;HOMICÍDIO DOLOSO;M;32;IBITIRAMA
43727850;27/11/2020;18:33;HOMICÍDIO DOLOSO;M;46;LINHARES
43730534;27/11/2020;22:40;HOMICÍDIO DOLOSO;M;31;PINHEIROS
43730978;27/11/2020;23:05;HOMICÍDIO DOLOSO;F;23;ECOPORANGA
43735823;28/11/2020;20:01;HOMICÍDIO DOLOSO;M;34;SERRA
43735306;28/11/2020;18:46;HOMICÍDIO DOLOSO;M;54;CARIACICA
43735306;28/11/2020;18:46;HOMICÍDIO DOLOSO;M;25;CARIACICA
43737555;29/11/2020;00:26;HOMICÍDIO DOLOSO;M;;CARIACICA
43741823;29/11/2020;15:44;HOMICÍDIO DOLOSO;M;60;DOMINGOS MARTINS
43743956;29/11/2020;20:56;HOMICÍDIO DOLOSO;M;22;LINHARES
43744377;29/11/2020;22:09;HOMICÍDIO DOLOSO;M;21;CARIACICA
43745100;30/11/2020;00:33;HOMICÍDIO DOLOSO;M;18;LINHARES
43749903;30/11/2020;16:55;HOMICÍDIO DOLOSO;M;20;VARGEM ALTA
43752302;30/11/2020;23:38;HOMICÍDIO DOLOSO;F;22;GUARAPARI
43752891;01/12/2020;06:08;HOMICÍDIO DOLOSO;M;26;SERRA
43752891;01/12/2020;06:08;HOMICÍDIO DOLOSO;F;30;SERRA
43758189;01/12/2020;19:20;HOMICÍDIO DOLOSO;M;16;BAIXO GUANDU
43752640;01/12/2020;02:03;LATROCÍNIO;M;55;JOAO NEIVA
43759494;02/12/2020;00:25;HOMICÍDIO DOLOSO;M;31;VILA VELHA
43759904;02/12/2020;05:28;HOMICÍDIO DOLOSO;M;38;PRESIDENTE KENNEDY
43762885;02/12/2020;13:38;HOMICÍDIO DOLOSO;M;27;SERRA
43765391;02/12/2020;18:53;HOMICÍDIO DOLOSO;F;2;LINHARES
43765391;02/12/2020;18:53;HOMICÍDIO DOLOSO;F;45;LINHARES
43767710;03/12/2020;07:05;HOMICÍDIO DOLOSO;M;32;PEDRO CANARIO
43777939;04/12/2020;00:00;HOMICÍDIO DOLOSO;M;23;VITORIA
43774660;04/12/2020;01:27;HOMICÍDIO DOLOSO;M;null;CACHOEIRO DE ITAPE
43776281;04/12/2020;10:25;HOMICÍDIO DOLOSO;M;64;CONCEICAO DA BARR
43777831;04/12/2020;14:01;HOMICÍDIO DOLOSO;M;19;VITORIA
43780154;04/12/2020;19:22;HOMICÍDIO DOLOSO;M;;CARIACICA
43783640;05/12/2020;09:03;HOMICÍDIO DOLOSO;M;41;SERRA
43788374;05/12/2020;21:36;HOMICÍDIO DOLOSO;F;40;BAIXO GUANDU
43783062;05/12/2020;05:33;LATROCÍNIO;F;21;CARIACICA
43789455;06/12/2020;00:19;HOMICÍDIO DOLOSO;M;34;VILA VELHA
43789489;06/12/2020;00:24;HOMICÍDIO DOLOSO;F;28;IBATIBA
43794791;06/12/2020;18:47;HOMICÍDIO DOLOSO;M;48;VITORIA
43796786;07/12/2020;01:05;HOMICÍDIO DOLOSO;M;24;VITORIA
43798111;07/12/2020;07:10;HOMICÍDIO DOLOSO;M;36;VILA VALERIO
43798385;07/12/2020;09:52;HOMICÍDIO DOLOSO;M;19;CARIACICA
43803894;07/12/2020;21:25;HOMICÍDIO DOLOSO;M;34;SERRA
43809842;08/12/2020;18:04;HOMICÍDIO DOLOSO;M;25;SERRA
43811068;08/12/2020;21:06;HOMICÍDIO DOLOSO;M;54;BAIXO GUANDU
43818166;09/12/2020;20:20;HOMICÍDIO DOLOSO;M;24;RIO NOVO DO SUL
43831798;11/12/2020;18:39;HOMICÍDIO DOLOSO;M;48;AGUIA BRANCA
43832080;11/12/2020;19:18;HOMICÍDIO DOLOSO;M;null;PEDRO CANARIO
43834202;12/12/2020;01:08;HOMICÍDIO DOLOSO;M;31;GUARAPARI
43837699;12/12/2020;15:16;HOMICÍDIO DOLOSO;M;19;CARIACICA
43838043;12/12/2020;16:10;HOMICÍDIO DOLOSO;M;46;IUNA
43842394;13/12/2020;03:48;HOMICÍDIO DOLOSO;F;23;LINHARES
43844200;13/12/2020;06:10;HOMICÍDIO DOLOSO;M;null;BAIXO GUANDU
43847447;13/12/2020;21:08;HOMICÍDIO DOLOSO;M;22;SERRA
43845353;13/12/2020;15:53;HOMICÍDIO DOLOSO;M;2;SAO GABRIEL DA PALH
43853047;14/12/2020;16:39;HOMICÍDIO DOLOSO;M;20;SERRA
43858230;15/12/2020;12:15;HOMICÍDIO DOLOSO;F;31;GUACUI
43863102;16/12/2020;04:08;HOMICÍDIO DOLOSO;M;40;GUARAPARI
43863388;16/12/2020;07:06;HOMICÍDIO DOLOSO;M;49;VILA VELHA
43863564;16/12/2020;07:53;HOMICÍDIO DOLOSO;M;23;CARIACICA
43876400;17/12/2020;23:09;HOMICÍDIO DOLOSO;M;20;RIO NOVO DO SUL
43875898;17/12/2020;21:29;LESÃO CORPORAL SEGUI;MA DE;3O0RTE;CARIACICA
43883426;18/12/2020;22:19;HOMICÍDIO DOLOSO;F;19;SAO MATEUS
43883426;18/12/2020;22:19;HOMICÍDIO DOLOSO;M;23;SAO MATEUS
43883657;18/12/2020;22:30;HOMICÍDIO DOLOSO;M;39;CONCEICAO DA BARR
43884297;18/12/2020;23:30;HOMICÍDIO DOLOSO;M;null;BAIXO GUANDU
43884016;18/12/2020;23:50;HOMICÍDIO DOLOSO;M;25;ARACRUZ
43884919;19/12/2020;00:05;HOMICÍDIO DOLOSO;M;16;PINHEIROS
43889164;19/12/2020;18:16;HOMICÍDIO DOLOSO;M;36;PIUMA
43890252;19/12/2020;20:52;HOMICÍDIO DOLOSO;M;35;ARACRUZ
43890330;19/12/2020;21:02;HOMICÍDIO DOLOSO;M;54;SERRA
43885650;19/12/2020;08:40;HOMICÍDIO DOLOSO;M;51;AFONSO CLAUDIO
43895353;20/12/2020;16:44;HOMICÍDIO DOLOSO;M;28;VITORIA
43895898;20/12/2020;18:07;HOMICÍDIO DOLOSO;M;32;SERRA
43898455;21/12/2020;01:59;HOMICÍDIO DOLOSO;M;;BOA ESPERANCA
43898621;21/12/2020;03:38;HOMICÍDIO DOLOSO;M;29;LINHARES
43898666;21/12/2020;04:13;HOMICÍDIO DOLOSO;M;43;LINHARES
43905349;21/12/2020;20:56;HOMICÍDIO DOLOSO;M;24;CARIACICA
43896847;21/12/2020;20:33;HOMICÍDIO DOLOSO;M;54;VITORIA
43906486;22/12/2020;02:23;HOMICÍDIO DOLOSO;M;45;MANTENOPOLIS
43913013;22/12/2020;21:11;HOMICÍDIO DOLOSO;M;16;JAGUARE
43913013;22/12/2020;21:11;HOMICÍDIO DOLOSO;M;40;JAGUARE
43906384;23/12/2020;01:07;HOMICÍDIO DOLOSO;M;28;SOORETAMA
43922047;24/12/2020;08:22;HOMICÍDIO DOLOSO;M;;JAGUARE
43926930;24/12/2020;20:25;HOMICÍDIO DOLOSO;M;;LINHARES
43926993;24/12/2020;20:35;HOMICÍDIO DOLOSO;M;16;JAGUARE
43930285;25/12/2020;07:42;HOMICÍDIO DOLOSO;M;35;SERRA
43935874;25/12/2020;22:00;HOMICÍDIO DOLOSO;M;24;SAO GABRIEL DA PALH
43926649;25/12/2020;19:41;HOMICÍDIO DOLOSO;M;18;CARIACICA
43930466;25/12/2020;08:51;LESÃO CORPORAL SEGUI;MA DE;2O3RTE;SERRA
43940778;26/12/2020;18:51;HOMICÍDIO DOLOSO;M;28;LINHARES
43944118;27/12/2020;08:32;HOMICÍDIO DOLOSO;M;24;ITAPEMIRIM
43944118;27/12/2020;08:32;HOMICÍDIO DOLOSO;M;26;ITAPEMIRIM
43944413;27/12/2020;09:49;HOMICÍDIO DOLOSO;M;21;VIANA
43943278;27/12/2020;23:40;HOMICÍDIO DOLOSO;M;null;AGUIA BRANCA
43949056;28/12/2020;00:07;HOMICÍDIO DOLOSO;M;26;VIANA
43953082;28/12/2020;12:00;HOMICÍDIO DOLOSO;M;26;BOA ESPERANCA
43952108;28/12/2020;12:51;HOMICÍDIO DOLOSO;F;;SERRA
43953462;28/12/2020;15:38;HOMICÍDIO DOLOSO;M;43;VILA VELHA
43955502;28/12/2020;19:59;HOMICÍDIO DOLOSO;M;21;GUARAPARI
43956948;29/12/2020;01:21;HOMICÍDIO DOLOSO;M;20;GUACUI
43963104;29/12/2020;16:10;HOMICÍDIO DOLOSO;M;32;SAO GABRIEL DA PALH
43961302;29/12/2020;16:50;HOMICÍDIO DOLOSO;M;59;CARIACICA
43963351;29/12/2020;22:16;HOMICÍDIO DOLOSO;F;27;PIUMA
43970170;30/12/2020;20:36;HOMICÍDIO DOLOSO;M;52;CARIACICA
43974873;31/12/2020;13:49;HOMICÍDIO DOLOSO;M;;SANTA LEOPOLDINA
43976716;31/12/2020;18:07;HOMICÍDIO DOLOSO;M;16;CARIACICA
INCIDENTE;QUANT;;;;;
TOTAL;1162;;;;;
